,category,amt,city,state,lat,long,city_pop,age,is_fraud
257132,shopping_pos,1.660000000000025,Annapolis,MD,39.0305,-76.5515,92106.0,81.0,0
83825,personal_care,132.4,Greendale,WI,42.9373,-87.9943,13973.0,43.0,0
403231,misc_net,867.25,Harwood,MD,38.8582,-76.6145,3289.0,91.0,1
91979,grocery_pos,304.03,Portland,OR,45.5303,-122.7033,841711.0000000001,61.0,1
714191,home,9.389999999999986,Rocky Mount,MO,38.2911,-92.7059,1847.0,36.0,0
72207,grocery_pos,297.4,West Frankfort,IL,37.8979,-88.9307,12626.000000000015,27.999999999999996,1
16239,personal_care,33.120000000000005,Lawn,PA,40.2236,-76.538,213.0,52.0,0
297502,health_fitness,167.09,Reno,NV,39.5483,-119.7957,276896.0,27.0,0
1213145,home,63.69999999999999,Powell,TN,36.0435,-84.04,25459.0,55.0,0
40468,personal_care,23.30000000000001,Detroit,MI,42.377,-83.0796,673342.0,55.0,0
179841,food_dining,8.639999999999986,Hancock,MD,39.6991,-78.1762,3766.0,40.0,0
122754,gas_transport,47.28000000000003,Clarksville,TN,36.522,-87.34899999999999,151785.0,50.0,0
330093,shopping_net,873.24,Burrton,KS,38.0261,-97.6666,1689.0,27.0,1
169317,home,17.79000000000002,Bowersville,OH,39.5756,-83.7153,338.0,36.0,0
1278726,entertainment,456.0,Thomas,WV,39.1505,-79.503,836.0,43.0,1
259141,kids_pets,36.420000000000016,Thida,AR,35.5762,-91.4539,111.0,24.0,0
353068,gas_transport,47.579999999999984,Paauilo,HI,20.0271,-155.3697,1490.0,33.0,0
144788,shopping_pos,811.28,O Brien,TX,33.3749,-99.8473,178.00000000001455,41.0,1
258083,shopping_net,1057.35,Jackson,MS,32.3739,-90.1293,233060.0,52.0,1
76612,shopping_pos,1084.51,Milner,GA,33.141,-84.1759,4138.0,55.0,1
211153,home,51.579999999999984,Lomax,IL,40.6761,-91.0391,725.0,52.0,0
1111291,gas_transport,59.49000000000001,Steuben,ME,44.4971,-67.9503,1131.0,65.0,0
454697,grocery_pos,54.860000000000014,Ranier,MN,48.6031,-93.2977,136.0,24.0,0
903977,home,296.61,Huntington Beach,CA,33.6773,-118.0051,190249.0,48.0,1
1046846,gas_transport,7.610000000000014,Spencer,SD,43.7557,-97.5936,343.0,52.0,1
