,is_fraud
257132,0
83825,0
403231,1
91979,1
714191,0
72207,1
16239,0
297502,0
1213145,0
40468,0
179841,0
122754,0
330093,1
169317,0
1278726,1
259141,0
353068,0
144788,1
258083,1
76612,1
211153,0
1111291,0
454697,0
903977,1
1046846,1
39476,0
282349,1
339039,0
1185519,0
588049,0
609087,0
7523,1
1098332,0
160408,1
599936,1
266285,1
850349,0
703752,0
1097804,1
522269,1
1047614,0
353428,1
469031,1
481561,1
95982,1
85967,1
931831,0
28804,1
834494,1
906068,0
32162,0
110326,1
263484,0
1253348,0
248124,0
383206,0
935809,1
1000805,1
1021803,0
574688,0
372012,1
1182070,1
919427,0
573880,1
435977,1
258990,1
778349,1
1133864,1
72134,0
30360,1
1196950,1
780931,0
456515,0
442271,0
1291873,1
981273,1
1009854,1
859645,0
401805,1
18537,1
645722,0
221520,1
498787,1
114868,0
52625,1
228148,1
716300,1
940082,0
717911,1
934884,0
1030517,0
1002306,1
403549,1
890335,1
508359,0
1010704,1
227930,1
75418,1
757426,1
26379,1
1003060,1
42415,1
256107,0
75343,1
1163021,0
21753,1
1101393,0
7844,0
88493,0
491177,0
272231,0
954995,1
315190,0
1210141,0
1034588,0
425166,1
371433,0
682342,1
1057230,0
837521,1
1030584,1
56279,1
64007,1
945261,1
1096045,0
190676,1
673418,1
150496,0
628859,0
38263,1
488424,0
1194666,1
56317,1
1096218,1
866985,0
893745,0
1220893,0
310014,1
924178,0
733869,0
311582,1
941429,1
419446,0
733862,1
678965,0
1129729,1
921868,1
942845,1
10520,0
865530,1
1097854,1
149873,1
99308,1
48037,1
572483,0
641502,1
6223,1
192458,1
1223287,1
1168389,1
1056670,1
326428,0
29254,1
746602,1
149095,0
45367,1
33519,1
599162,0
583436,0
882130,0
491399,0
1002675,1
132187,1
151308,1
126648,0
921847,1
123491,0
358941,0
255013,0
93676,1
10189,0
1069848,1
328741,1
470324,0
884046,1
220508,0
81400,0
670015,0
322255,0
1231252,1
191395,1
375443,1
974581,0
36126,1
425181,1
1278440,1
290417,1
514507,1
1018008,0
447911,0
162165,0
809625,1
494550,1
394119,0
515699,0
584285,1
666619,0
926227,1
334064,1
100774,1
201847,1
680547,0
588100,1
492615,0
796172,1
146488,0
504301,0
370846,0
454063,1
219841,0
1220862,0
130348,1
141998,0
365129,0
185216,1
297742,0
165424,1
1099025,0
255916,0
641877,0
436456,0
424555,0
828922,0
14601,1
1214950,1
21668,1
1121969,0
837715,1
1178643,1
432480,0
758991,0
599210,0
154186,1
245355,0
298399,1
611777,0
172917,1
690420,0
270045,1
103022,0
226418,0
240210,0
1008875,1
276404,1
995441,1
529166,0
445005,0
935844,0
114638,1
650950,0
287244,1
64624,1
438181,0
979771,1
686320,1
603586,1
19852,1
327048,0
468374,0
147867,1
776449,1
1279570,0
477891,0
1284916,0
1171611,0
259810,1
850357,0
620112,0
693582,0
835904,1
662123,0
1186544,1
545521,0
971554,0
182744,0
356831,1
241338,1
884593,1
622379,0
93730,1
1175088,0
498907,0
1077611,0
480726,0
1177404,0
518965,1
750185,0
506190,0
364954,0
386465,0
209663,0
550006,0
241342,1
374888,0
940826,1
71905,0
778866,0
340212,0
829640,0
577809,0
270526,0
921571,1
867653,0
1033599,1
522076,1
265848,1
1262636,1
837600,1
30289,1
228920,0
422405,1
209703,1
1169835,0
1075962,1
1070031,0
109499,1
565587,1
1074581,0
370620,1
1110824,1
192439,1
419279,0
1189673,1
157022,0
748085,0
766559,0
126635,0
390237,1
1052598,1
539334,0
114529,0
774681,1
1162777,1
299073,0
1006337,0
255297,1
223325,0
1068608,1
685878,1
924718,1
1091540,1
1268469,1
507495,0
90175,1
616035,1
279512,1
398015,0
145006,0
532985,0
375955,0
474428,1
373256,0
113230,1
936383,1
891118,0
36476,1
227174,1
791659,0
673246,1
227145,0
1158567,1
656698,1
6981,0
385988,0
1168293,1
618690,0
892600,0
285616,1
321926,0
313855,1
1235597,1
582842,0
773260,1
1278493,1
545555,0
511944,0
209444,1
235441,0
837917,0
313791,1
402814,0
59716,1
44921,0
33155,1
1152282,1
1227126,1
346571,0
971659,1
247665,0
448236,0
69663,1
39759,0
1275558,0
79432,1
82807,0
344042,0
230086,1
42931,0
872861,1
317299,1
805138,0
962294,1
153285,1
40497,0
139643,0
534327,1
683280,1
164646,0
484979,0
455456,1
293512,0
689744,0
252254,1
1214113,0
275840,0
549410,0
1193836,0
1094627,0
349516,0
54163,1
864449,0
51252,1
355740,0
638426,1
210,0
403525,1
810090,1
135723,1
355667,1
131567,1
321759,0
969525,0
143732,0
641497,1
318597,0
42180,1
1091550,0
933158,1
779862,0
625355,0
1118625,0
183589,1
472043,0
1166483,1
889723,1
133590,1
628203,0
274608,0
179492,1
454959,0
293250,0
121382,1
159459,0
605338,0
753338,0
246368,0
360109,0
279698,0
749949,0
360983,1
1289390,0
163440,0
496673,0
1079717,0
924785,1
1090176,0
978722,0
345250,0
689082,1
57988,0
984416,0
615284,1
809843,1
248436,0
525983,0
717906,1
1156237,0
903779,1
101614,1
685995,1
114846,0
150868,0
237667,1
1218920,1
582819,1
942449,1
773196,0
454392,0
1183883,1
1215159,1
168501,0
525242,0
384716,1
830427,0
690283,0
699714,0
723719,0
673229,1
757239,1
301363,1
1243577,0
172723,0
688984,0
1083678,0
995711,1
528300,0
1159589,0
21519,1
1051759,0
21992,1
606221,1
366769,1
290124,1
660749,0
1200643,0
1192946,1
61314,0
1295491,1
360651,0
46393,0
494474,1
1198622,0
239511,0
827644,1
1251370,0
268531,0
142005,0
1066038,1
33822,0
935798,0
619860,1
47764,1
519056,0
362903,0
1002118,0
209999,0
387823,1
314330,1
331150,1
69495,1
904031,1
381280,0
145381,0
789982,0
441207,1
747578,0
524062,0
432129,1
398352,0
22427,1
644201,0
88690,0
146082,1
165891,0
1205710,1
853463,0
499048,0
1278598,1
201737,1
1254951,0
78315,1
657474,0
47988,1
189295,0
597301,0
388377,0
749193,0
384625,1
533203,0
540825,1
590058,0
767564,0
909076,0
963747,1
239372,0
1253050,0
1141549,0
439249,0
310352,0
10167,1
376635,0
837079,0
521492,0
422466,0
651334,0
35644,0
28901,1
128166,0
290084,1
336775,0
57803,0
356205,0
199415,1
241351,1
827324,0
90629,0
918211,0
614158,1
491222,1
432842,0
75008,0
538306,1
714225,0
117297,0
31665,0
199561,0
558475,0
1050355,1
59591,1
63804,0
147863,1
663584,1
1052579,0
1217740,0
693766,1
753589,0
933645,0
52522,1
460690,1
405025,1
157420,1
291823,1
47983,0
192570,1
345291,0
1027511,1
100894,0
737710,1
961267,0
296761,1
1063426,0
64539,1
868009,0
1290489,1
21823,0
590962,0
301324,1
256937,1
107424,0
145955,1
9837,0
871462,0
596883,1
1193477,0
1193717,1
444431,0
473095,1
154516,0
263400,0
1184297,1
995784,0
772990,1
667884,1
16078,1
721101,1
472728,1
599537,1
904627,1
22791,0
441814,0
1287700,0
534112,0
464351,1
1263038,0
962367,1
869267,1
245651,0
888257,1
1282613,1
118405,1
85908,1
744991,1
230693,1
875647,0
22639,0
127323,0
1092615,0
2014,0
13003,0
345136,0
594256,1
15863,0
640898,0
190673,0
1229327,0
717690,1
1280685,0
257280,1
280842,0
751491,0
238763,0
558041,1
862135,1
1132433,0
1134806,1
84490,0
64025,0
209381,0
141703,1
455625,1
1145478,0
1113811,1
1290650,1
21812,1
1171122,1
173917,0
586829,0
477913,0
78379,1
685803,1
78966,1
951874,0
667648,1
22547,1
1030684,0
